userId,rating,id
1,2.5,9909
1,3,11360
1,3,819
1,2,1103
1,4,11216
1,2,11778
1,2,665
1,2,783
1,3.5,6114
1,2,1598
1,2.5,152
1,1,3179
1,4,1051
1,4,97
1,3,8393
1,2,847
1,2,8916
1,2.5,9426
1,1,36819
1,3,11072
2,4,710
2,5,4584
2,5,9603
2,4,807
2,4,629
2,3,11448
2,3,2054
2,4,197
2,3,16388
2,5,568
2,4,414
2,3,8963
2,3,1572
2,3,6520
2,3,1642
2,3,11472
2,3,9804
2,5,22625
2,1,2292
2,3,8984
2,3,522
2,3,17207
2,4,628
2,4,9587
2,5,18183
2,5,4476
2,3,11318
2,4,3036
2,3,6950
2,4,680
2,3,11450
2,4,14334
2,2,11395
2,1,9905
2,3,2064
2,4,9331
2,4,10731
2,3,13
2,3,712
2,3,8587
2,3,854
2,2,36593
2,3,12280
2,3,2788
2,3,1637
2,3,10395
2,2,8011
2,3,2758
2,4,37233
2,3,5503
2,4,10612
2,2,9386
2,4,329
2,3,9593
2,3,11971
2,4,788
2,4,9800
2,4,713
2,4,1245
2,4,424
2,4,12519
2,3,858
2,3,10635
2,5,9479
2,3,10057
2,5,9066
2,3,771
2,3,251
2,3,812
2,5,280
2,5,581
2,5,268
2,3,274
2,3,10112
2,4,10539
3,3,11359
3,4,197
3,3.5,1024
3,3,11008
3,4.5,680
3,5,278
3,2.5,888
3,5,13
3,2.5,1637
3,3,424
3,3,812
3,3,268
3,3,274
3,2,10020
3,3.5,664
3,4,627
3,3,9303
3,5,2493
3,3,1892
3,4,343
3,3,1633
3,4,11967
3,3.5,607
3,4.5,597
3,4,1878
3,4,857
3,4,10683
3,3,8913
3,3,9032
3,3.5,10279
3,3,620
3,3.5,745
3,4,11601
3,4,14
3,5,550
3,3,10406
3,4,10559
3,5,641
3,3,557
3,3.5,1430
3,3,12
3,2.5,122
3,3,38
3,3.5,1777
3,3,558
3,3.5,44756
3,3.5,752
3,4.5,3683
3,4.5,1251
3,3,155
4,4,710
4,5,9598
4,5,33542
4,5,11000
4,4,414
4,3,9482
4,3,1642
4,5,11
4,4,9058
4,5,680
4,3,193
4,5,9331
4,5,13
4,5,712
4,5,8587
4,4,854
4,3,36955
4,3,2758
4,3,6075
4,4,9350
4,1,9612
4,4,11566
4,4,9739
4,4,2019
4,5,329
4,5,78
4,5,812
4,5,280
4,3,581
4,5,408
4,5,10895
4,4,11827
4,5,10112
4,5,238
4,5,426
4,4,239
4,5,963
4,5,630
4,4,10869
4,4,15944
4,5,11224
4,5,433
4,5,11114
4,5,12335
4,5,12092
4,5,10948
4,5,562
4,5,252
4,5,623
4,5,500
4,5,601
4,5,11843
4,5,2756
4,5,762
4,5,11455
4,5,1891
4,5,2493
4,5,85
4,5,679
4,5,185
4,5,28
4,5,1892
4,5,769
4,5,348
4,5,539
4,5,525
4,5,600
4,5,279
4,5,703
4,5,218
4,5,18971
4,5,13667
4,5,694
4,4,235
4,5,137
4,5,105
4,5,3034
4,5,756
4,4,2640
4,5,11031
4,5,89
4,4,12104
4,4,639
4,4,32076
4,5,8851
4,5,11349
4,4,199
4,4,152
